City_Name,Province,Population,Latitude,Longitude
Port-Cartier,Quebec,6511,50.0187481,-66.8756913
Shannon,Quebec,6979,46.8865709,-71.5166406
Saint-Honoré,Quebec,6889,48.5333057,-71.0856828
Plessisville,Quebec,6786,46.219515,-71.771965
Mont-Joli,Quebec,6465,48.583875,-68.183899
Charlemagne,Quebec,6679,45.7255196,-73.4896922
Pointe-Calumet,Quebec,6410,45.5006572,-73.9668364
Princeville,Quebec,6418,46.1722898,-71.8751852
Beauceville,Quebec,6253,46.210725,-70.774269
Pontiac,Quebec,6479,45.5424415,-76.1091992
"L'Ange-Gardien (MÉ), Les Collines-de-l'Outaouais",Quebec,6895,,
Notre-Dame-du-Mont-Carmel,Quebec,6527,46.4916934,-72.6573131
Sainte-Anne-des-Monts,Quebec,6161,49.1263278,-66.4849502
Saint-Césaire,Quebec,6156,45.4099788,-73.0027215
Amqui,Quebec,6116,48.4656706,-67.4315171
McMasterville,Quebec,6136,45.5492232,-73.2302916
Lac-Brome,Quebec,6286,45.2177029,-72.5372215
Saint-Pie,Quebec,6043,45.504903,-72.905273
Saint-Henri,Quebec,6016,46.692077,-71.067123
Verchères,Quebec,5819,45.7727845,-73.355442
Richelieu,Quebec,5986,45.4439193,-73.2488055
Lac-Mégantic,Quebec,5910,45.5772636,-70.8819927
Sainte-Martine,Quebec,5876,45.246129,-73.804436
Les Coteaux,Quebec,6113,45.2596464,-74.2055161
Val-David,Quebec,5849,46.0282815,-74.2065632
Saint-Roch-de-l'Achigan,Quebec,5691,45.856065,-73.593292
Hudson,Quebec,5543,45.464465,-74.150848
Cookshire-Eaton,Quebec,5461,45.4125001,-71.6290758
Chertsey,Quebec,5582,46.0727975,-73.8886371
Windsor,Quebec,5328,45.5697799,-72.0034954
Saint-Boniface,Quebec,5326,46.505246,-72.828712
Lanoraie,Quebec,5584,45.9592895,-73.2195681
Montréal-Ouest,Quebec,5363,45.4528545,-73.6442442
Chisasibi,Quebec,5297,53.6520138,-78.338414
Sainte-Anne-de-Bellevue,Quebec,5487,45.4038563,-73.9523976
Orford,Quebec,5657,45.3126711,-72.1657822
Témiscouata-sur-le-Lac,Quebec,5168,47.6836969,-68.8853408
Saint-Joseph-de-Beauce,Quebec,5288,46.310181,-70.877953
Toronto,Ontario,3273119,43.6534817,-79.3839347
Ottawa,Ontario,1153843,45.4208777,-75.6901106
Mississauga,Ontario,780747,43.5896231,-79.6443879
Brampton,Ontario,791486,43.685832,-79.7599366
Hamilton,Ontario,632111,43.2560802,-79.8728583
London,Ontario,488640,42.9836747,-81.2496068
Markham,Ontario,368110,43.8563707,-79.3376825
Vaughan,Ontario,353648,43.7941544,-79.5268023
Kitchener,Ontario,320360,43.451291,-80.4927815
Windsor,Ontario,266309,42.2858536,-82.9780695
Oakville,Ontario,238716,43.447436,-79.666672
Richmond Hill,Ontario,219094,43.8801166,-79.4392925
Burlington,Ontario,197351,43.3248924,-79.7966835
Oshawa,Ontario,207408,43.8975558,-78.8635324
Greater Sudbury / Grand Sudbury,Ontario,186337,46.3440,-81.0410
Barrie,Ontario,169419,44.3893208,-79.6901302
Guelph,Ontario,159360,43.5460516,-80.2493276
Whitby,Ontario,158855,43.87982,-78.9421751
Cambridge,Ontario,163208,43.3600536,-80.3123023
St. Catharines,Ontario,152958,43.1579812,-79.2441003
Milton,Ontario,152817,43.513671,-79.882817
Kingston,Ontario,148869,44.3054151,-76.4283781
Ajax,Ontario,138843,43.8505287,-79.0208814
Waterloo,Ontario,144161,43.4652699,-80.5222961
Thunder Bay,Ontario,117100,48.406414,-89.259796
Brantford,Ontario,120372,43.1408157,-80.2631733
Chatham-Kent,Ontario,111368,42.41833,-82.0898417
Clarington,Ontario,113564,43.9686695,-78.6513545
Pickering,Ontario,113385,43.835765,-79.090576
Niagara Falls,Ontario,111793,43.1065603,-79.0639039
Newmarket,Ontario,95144,44.056258,-79.461708
Peterborough,Ontario,96058,44.3048009,-78.3199496
Kawartha Lakes,Ontario,84988,44.3596825,-78.7421729
Caledon,Ontario,90631,43.8320699,-79.9066871
Sarnia,Ontario,80264,42.9743821,-82.403533
Sault Ste. Marie,Ontario,80740,46.5126554,-84.3330301
Norfolk County,Ontario,71813,42.7971532,-80.4538365
Halton Hills,Ontario,68042,43.64701,-80.017604
Aurora,Ontario,67828,43.99973,-79.467545
Welland,Ontario,63874,42.9922181,-79.2484192
Belleville,Ontario,61725,44.2436328,-77.3607597
North Bay,Ontario,61709,46.3092115,-79.4607617
Whitchurch-Stouffville,Ontario,56878,43.9717581,-79.2454446
Haldimand County,Ontario,57032,42.945542,-79.8362031
Cornwall,Ontario,52465,45.0469989,-74.7333845
Georgina,Ontario,52829,44.2280235,-79.4644446
Woodstock,Ontario,53583,43.1301111,-80.7562977
Quinte West,Ontario,50214,44.0988246,-77.5748551
New Tecumseth,Ontario,49507,44.1542367,-79.8689888
Innisfil,Ontario,49298,44.3150892,-79.5461073
Bradford West Gwillimbury,Ontario,50121,44.1143279,-79.5647069
St. Thomas,Ontario,47818,42.779022,-81.1929882
Timmins,Ontario,44940,48.477473,-81.330414
Lakeshore,Ontario,45043,42.3038299,-82.8189267
Brant,Ontario,46512,43.1010804,-80.4288217
East Gwillimbury,Ontario,42054,44.0957511,-79.4897803
Orillia,Ontario,36588,44.6066135,-79.4169256
Stratford,Ontario,35787,43.3700899,-80.9818016
Fort Erie,Ontario,36945,42.91308,-78.918611
LaSalle,Ontario,36508,42.2151672,-83.0642923
Centre Wellington,Ontario,34341,43.7180927,-80.3747736
Orangeville,Ontario,32048,43.9193171,-80.0973754
Leamington,Ontario,34245,42.0531385,-82.5997722
Grimsby,Ontario,31578,43.1931661,-79.560677
King,Ontario,29319,44.0034771,-79.6047708
Woolwich,Ontario,31080,43.5665497,-80.4995154
Clarence-Rockland,Ontario,29351,45.5247978,-75.2607533
Lincoln,Ontario,28634,43.1735497,-79.4159805
Prince Edward County,Ontario,26868,44.031827,-77.246933
Wasaga Beach,Ontario,28133,44.5224813,-80.0203156
Collingwood,Ontario,27950,44.5027226,-80.2172379
Thorold,Ontario,27313,43.1249127,-79.2005935
Strathroy-Caradoc,Ontario,27265,42.9064729,-81.5548527
Amherstburg,Ontario,26889,42.1013313,-83.1086544
Tecumseh,Ontario,25771,42.3117951,-82.8861974
Essa,Ontario,24975,44.2344356,-79.8063687
Oro-Medonte,Ontario,24964,44.5445701,-79.5489109
Kingsville,Ontario,25206,42.0378963,-82.7396606
Brockville,Ontario,23365,44.6039207,-75.7016829
Springwater,Ontario,24549,44.4940928,-79.8318129
Scugog,Ontario,23747,44.1150554,-78.9059888
Owen Sound,Ontario,23329,44.5678105,-80.9430094
Uxbridge,Ontario,22786,44.1088502,-79.1226768
Wilmot,Ontario,22977,43.3957664,-80.6352027
Essex,Ontario,23716,42.2354142,-82.7120106
Huntsville,Ontario,23478,45.3263919,-79.218434
Cobourg,Ontario,20794,43.9595998,-78.1677784
South Frontenac,Ontario,21802,44.5403979,-76.4815481
Port Colborne,Ontario,21830,42.8862392,-79.2513905
Russell,Ontario,23050,45.2573172,-75.3583264
Niagara-on-the-Lake,Ontario,20254,43.2556116,-79.0723264
Middlesex Centre,Ontario,21833,43.0021908,-81.4545415
Selwyn,Ontario,20723,44.4262349,-78.3694799
Petawawa,Ontario,19462,45.8984286,-77.2826645
Pelham,Ontario,19855,43.0445702,-79.2838481
Tillsonburg,Ontario,20773,42.859494,-80.7265015
North Grenville,Ontario,19773,44.9858426,-75.6448304
Loyalist,Ontario,19455,44.2091184,-76.7331441
Midland,Ontario,19318,44.750147,-79.885712
Bracebridge,Ontario,18664,45.041508,-79.310989
Port Hope,Ontario,18651,43.9515755,-78.2939704
Greater Napanee,Ontario,17714,44.2473883,-76.9505543
Saugeen Shores,Ontario,17755,44.4952483,-81.3713261
North Perth,Ontario,17914,43.6912279,-80.9835643
West Lincoln,Ontario,16702,43.0724658,-79.5667331
Kenora,Ontario,15845,54.0245941,-89.1618188
Clearview,Ontario,16038,44.3682725,-80.0669473
Mississippi Mills,Ontario,16907,45.2513293,-76.2899575
St. Clair,Ontario,15755,43.6879512,-79.3936947
Severn,Ontario,15973,44.7546878,-79.5149164
West Nipissing / Nipissing Ouest,Ontario,16572,,
Pembroke,Ontario,15263,45.8209741,-77.1115433
Thames Centre,Ontario,15157,43.1054531,-81.1401989
Guelph/Eramosa,Ontario,14844,43.5964593,-80.2567182
Ingersoll,Ontario,14833,43.037725,-80.88211
Trent Hills,Ontario,15241,44.2921994,-77.8221815
Central Elgin,Ontario,15189,42.7721018,-81.091979
South Stormont,Ontario,14650,45.062849,-74.9522423
The Nation / La Nation,Ontario,14767,45.3134977,-75.2011932
South Glengarry,Ontario,14865,45.1869835,-74.5540059
Gravenhurst,Ontario,14453,44.91741,-79.373131
West Grey,Ontario,14412,44.1553792,-80.883577
Tiny,Ontario,13557,44.7382893,-80.1270994
Brock,Ontario,13883,44.347685,-79.1001649
Perth East,Ontario,13303,43.4948363,-80.9735598
Carleton Place,Ontario,13717,45.1403366,-76.1465672
Wellington North,Ontario,14048,43.9108155,-80.5839884
Kincardine,Ontario,13092,44.1776378,-81.6348713
Brighton,Ontario,13293,44.0422275,-77.7370071
Erin,Ontario,12733,43.77506,-80.070076
Lambton Shores,Ontario,13039,43.1926418,-81.9020243
North Dundas,Ontario,12661,45.0908225,-75.3700154
Meaford,Ontario,12318,44.6069298,-80.5916531
Norwich,Ontario,12452,42.987699,-80.59756
Wellesley,Ontario,12371,43.6655242,-79.3838011
Elliot Lake,Ontario,12400,46.373464,-82.652893
Tay,Ontario,12232,44.7158779,-79.7713789
Georgian Bluffs,Ontario,11784,44.6887222,-81.0087254
Hamilton,Ontario,12095,43.2560802,-79.8728583
Adjala-Tosorontio,Ontario,11825,44.1375186,-79.9421083
South Dundas,Ontario,11824,44.9485497,-75.2647713
Mapleton,Ontario,11542,43.7174721,-80.6892637
